,n,p,eps,gam,gam_media,p_media,max_it,media_op,avg_ncluster,std_ncluster,avg_pwdist,std_pwdist,avg_niter,std_niter,avg_ncluster_0.1,std_ncluster_0.1,nruns,avg_opinion,std_opinions,median_opinion,avg_00_perc,avg_05_perc,avg_095_perc,avg_005_perc,10B_avg_entr,10B_std_entr,100B_avg_entr,100B_std_entr,10B_norm_entr,100B_norm_entr,avg_ncluster_0.01,std_ncluster_0.01,avg_ncluster_0.00001,std_ncluster_0.00001
426,100,1.0,0.4,1.5,1.5,0.2,1000000,0.5,1.0775211106837732,0.05631811169032401,0.015913523930000003,0.08288261810981844,34.83,5.586880374881166,1.0766474834329411,0.054661842640218734,97.0,0.498878899,0.07649293430265745,0.5000634999999999,0.019500000000000003,0.9638,0.0167,0.019500000000000003,0.3362389812708501,0.2635752358162044,0.35302073356580194,0.2645785357568685,0.15011171285051053,0.08724550802120513,1.0775211106837734,0.05603581361343986,4.970768153316023,1.8257661647321468
427,100,1.0,0.5,0.0,0.0,0.2,1000000,0.5,1.0,0.0,0.000175944600000001,0.0003030140748354288,26.07,8.693728146825679,1.0,0.0,97.0,0.4998323399999999,0.0003436762400960521,0.499787,0.0,1.0,0.0,0.0,0.003516780602014233,0.026964348415630297,0.003516780602014233,0.026964348415630297,0.001570043895245327,0.000869136798631292,1.0,0.0,3.035688901859735,0.9701310773414599
428,100,1.0,0.5,0.5,0.5,0.2,1000000,0.5,1.0,0.0,0.0002644872000000007,0.0004284574011636461,25.85,7.5013466804435875,1.0,0.0,97.0,0.50011394,0.0004870028554746923,0.5000979999999999,0.0,1.0,0.0,0.0,0.09492445346762972,0.21565425231850274,0.09492445346762972,0.21565425231850274,0.04237840671408139,0.023459619730451086,1.0,0.0,4.175623955551531,1.4160285461898534
429,100,1.0,0.5,0.75,0.75,0.2,1000000,0.5,1.0,0.0,0.00026727040000000047,0.0004409262837480068,27.13,7.252523071944747,1.0,0.0,97.0,0.5000263599999999,0.0004910317224641782,0.49998050000000005,0.0,1.0,0.0,0.0,0.09697648893892998,0.21405822862242194,0.09697648893892998,0.21405822862242194,0.04329452464384265,0.023966759567147822,1.0,0.0,4.230812348368434,1.3899880610692814
430,100,1.0,0.5,1.0,1.0,0.2,1000000,0.5,1.0,0.0,0.0002830824000000004,0.0004625204954760912,28.41,5.9324394968544265,1.0,0.0,97.0,0.50011168,0.0005187409789669448,0.5000819999999999,0.0,1.0,0.0,0.0,0.14236883612679044,0.2470639580513271,0.14236883612679044,0.2470639580513271,0.06355964369970245,0.03518501961288994,1.0,0.0,4.206386723401494,1.3089252592287541
431,100,1.0,0.5,1.25,1.25,0.2,1000000,0.5,1.0,0.0,0.0003140757,0.0005187239282547348,29.38,5.034788069928158,1.0,0.0,97.0,0.50008389,0.0005743404588643939,0.5000465000000001,0.0,1.0,0.0,0.0,0.1907731740811097,0.2626911514084421,0.1907731740811097,0.2626911514084421,0.0851694465020278,0.04714766274888444,1.0,0.0,4.578909559495021,1.634640191967282
432,100,1.0,0.5,1.5,1.5,0.2,1000000,0.5,1.0,0.0,0.0003460800999999993,0.0005640489983461196,30.66,4.406652454935134,1.0,0.0,97.0,0.5000897100000001,0.0006285461706701576,0.5000680000000001,0.0,1.0,0.0,0.0,0.29325299527340243,0.3017496482470207,0.29325299527340243,0.3017496482470207,0.13092089814408867,0.07247451528678868,1.0,0.0,5.011864920234952,1.7747345771633691
433,100,1.0,0.2,0.0,0.0,0.3,1000000,0.5,2.77375855899081,0.2575917781543936,0.13645823052,0.21723369632663567,45.22,33.084397738773696,2.7737585589908105,0.2563005831655771,97.0,0.5019303019999999,0.2553830260529731,0.500001,0.0003,0.4278,0.1186,0.0991,1.0948515553244529,0.1244817386219444,1.1347489052746842,0.1473640044707617,0.4887893773221091,0.2804417284990503,2.7737585589908105,0.2563005831655771,4.852647217263929,2.3619724341063972
434,100,1.0,0.2,0.5,0.5,0.3,1000000,0.5,3.7592601463066377,0.9097341678217694,0.139132871476,0.21857470455534747,38.01,21.732299194581977,3.1029868845451296,0.4545486408580865,97.0,0.4988865106,0.25789621738349305,0.5000455,0.033800000000000004,0.4286000000000001,0.1218,0.1096,1.3969299365241157,0.1731277674934122,1.9036391216353712,0.31566021591729904,0.6236503117848617,0.4704651780039462,3.7590360416049204,0.9051781778341105,8.83980699267007,3.5550652332333414
435,100,1.0,0.2,0.75,0.75,0.3,1000000,0.5,3.7324093264148086,0.733304563288504,0.13962305180399998,0.21749994689467056,30.02,6.898953221725417,3.1975397704124813,0.3907973693885268,97.0,0.4942441332,0.2574161098355459,0.4999985,0.0468,0.4242,0.09370000000000003,0.1205,1.4803565844395503,0.16638051141752275,1.948223697666546,0.2780656231797466,0.6608955977675554,0.4814838055685644,3.7322557750795267,0.7291102045602974,11.03328474004073,3.8904341586848807
