,n,p,eps,gam,gam_media,p_media,max_it,media_op,avg_ncluster,std_ncluster,avg_pwdist,std_pwdist,avg_niter,std_niter,avg_ncluster_0.001,std_ncluster_0.001,nruns,avg_opinion,std_opinions,median_opinion,avg_00_perc,avg_05_perc,avg_095_perc,avg_005_perc,10B_avg_entr,10B_std_entr,100B_avg_entr,100B_std_entr,100B_norm_entr
181,100,1.0,0.4,1.25,1.25,0.1,1000000,0.05;0.5;0.95,1.042616239759039,0.0636011033315565,0.00877801826,0.0614328742800916,75.0,22.577364189324086,1.7528564841906404,0.5229436174775499,576,0.4993605139999999,0.0447753364700887,0.500208,0.0109,0.9799,0.0092,0.0109,0.1689539156602185,0.20690405529918,0.1689539156602185,0.20690405529918,0.041383419108064735
182,100,1.0,0.3,1.0,1.0,0.2,1000000,0.05;0.95,1.957196404824464,0.3259206956396051,0.2002572777299999,0.3660943557239401,66.65,8.070866675202168,2.610192507515767,0.7096397638198945,576,0.5170411810000001,0.4160063491337911,0.5742395,0.4600000000000001,0.0304,0.4993999999999999,0.4600000000000001,0.7339297802126776,0.1644836928596751,0.7574632678933193,0.2127514807091851,0.18553236692799718
183,100,1.0,0.5,1.5,1.5,0.4,1000000,0.05;0.95,1.9365219343110045,0.0859246403009062,0.21698568237,0.3846002278974477,32.81,2.929111976298786,2.2447320004485123,0.3485364599274566,576,0.5107699010000001,0.4414274166829049,0.5896400499999999,0.4878999999999999,0.0,0.5121000000000001,0.4878999999999999,0.6753141845274263,0.0259879166219908,0.6753141845274263,0.0259879166219908,0.16541084483725724
184,100,1.0,0.3,0.75,0.75,0.5,1000000,0.0,1.849415223333354,0.5072822463512078,0.14000022433802,0.2675759637262886,28.72,9.352879964821724,4.462457481579675,0.8865588718826742,576,0.4474716630499999,0.3003278911950213,0.6333955400000001,0.3118,0.0724,0.0028,0.3118,0.6783478616703907,0.1796847802718099,0.9056979402317752,0.3077750609558654,0.2218408333388374
185,100,1.0,0.4,0.0,0.0,0.1,1000000,0.05;0.95,1.0160400077137903,0.0422954307622873,0.00624270118,0.0727360582659219,2143.9,6298.163808891952,1.3797731582249435,0.3688083007660225,576,0.4341472820000001,0.0345411663367044,0.4338054,0.32,0.5092,0.1707999999999999,0.32,0.0329069733327692,0.0678107197011267,0.0644414220286723,0.1317909980331716,0.01578422355771504
186,100,1.0,0.2,1.5,1.5,0.4,1000000,0.05;0.95,3.5230184599566288,1.367028714677423,0.1762463011399999,0.2765961483899769,38.79,15.299894368157176,5.750063449184567,1.410912865007955,576,0.498842932,0.3268923294210493,0.4940595,0.262,0.3839000000000001,0.2605,0.262,1.2711536412171758,0.2696226751657019,1.5176362104717382,0.4515107924750322,0.37172843911965636
187,100,1.0,0.4,1.25,1.25,0.4,1000000,0.05;0.5;0.95,1.2393233999442168,0.1399589360923572,0.04192286704,0.1316439937983286,38.79,10.049669575954155,1.6735399491114558,0.4059141704116812,576,0.483593158,0.1341994729873855,0.5003265,0.0714,0.8942999999999999,0.0343,0.0714,0.3944594867156767,0.1862586470559169,0.3944594867156767,0.186258647055917,0.09661854947911441
188,100,1.0,0.5,1.5,1.5,0.3,1000000,0.0,1.0504322496524146,0.1584431582736656,0.01334783881238,0.0983793679047111,49.35,3.616390856680569,1.3183502021558888,0.2453896893382286,576,0.015570792646,0.0576040905932211,0.0005927265,0.9799,0.0003,0.0034,0.9799,0.0836174605334038,0.1539625143765112,0.0927276405474197,0.1963906029580895,0.022712624307525235
189,100,1.0,0.5,0.0,0.0,0.4,1000000,0.0,1.0133912180972044,0.0263420304583761,0.00569275591979,0.0698453575479591,38.05,21.060938519285685,1.1570465624698951,0.1482782250340158,576,0.006494400839,0.0403085308499598,0.0007903367,0.9935,0.0,0.0042,0.9935,0.0309425420858716,0.0511901594851763,0.031471792676398,0.0539489381971804,0.007708672399335006
190,100,1.0,0.2,0.0,0.0,0.2,1000000,0.05;0.5;0.95,2.562477438945164,0.4027002703366798,0.1691365341999999,0.2798708983141837,170.6,166.01399478551946,2.9144601331533533,0.5818464008815116,576,0.5001522119999999,0.3223747825170989,0.4909537,0.2842,0.4245,0.2784,0.2842,0.9800118222341472,0.1531577800795973,0.9800118222341474,0.1531577800795973,0.24004320830264864
