,n,p,eps,gam,gam_media,p_media,max_it,media_op,avg_ncluster,std_ncluster,avg_pwdist,std_pwdist,avg_niter,std_niter,avg_ncluster_0.01,std_ncluster_0.01,nruns,iqm_niter,iqstd_niter,avg_opinion,std_opinions,median_opinion,avg_00_perc,avg_05_perc,avg_095_perc,avg_005_perc,10B_avg_entr,10B_std_entr,100B_avg_entr,100B_std_entr,100B_norm_entr
322,100,1.0,0.3,1.25,1.25,0.1,1000000,0.0,2.1218772560536383,1.243068647757248,0.12729690297739998,0.2559402009787727,110.54,17.267602642234422,2.1208619300341565,1.2367926127586568,576,111.40425531914893,4.957949020311082,0.42395391277800004,0.27737517259517075,0.520625765,0.306,0.017200000000000003,0.0015,0.0,0.7327246780421386,0.2834513739631488,1.114823129980119,0.4861617120894793,0.27452974691232235
323,100,1.0,0.3,1.5,1.5,0.1,1000000,0.0,2.0342670617003744,0.9409990515258516,0.12560721635694,0.2560068848872529,120.72,18.849794361603717,2.030918766097019,0.9383530646837234,576,117.27083333333333,4.965462312033213,0.4075058563839999,0.27111784873797456,0.48770523699999996,0.3188,0.0222,0.0017,0.0,0.7375192894882726,0.31407770020609044,1.0824152586023559,0.4551317888878641,0.2665491762836316
324,100,1.0,0.4,0.0,0.0,0.1,1000000,0.0,1.014515340610349,0.04972988213248858,0.0042269727331,0.052713771971001085,41.67,43.6029039436966,1.0145153406103495,0.049480607970619095,576,20.86111111111111,10.88871173325277,0.39959544042999995,0.02587669036966621,0.3998342325,0.1721,0.1708,0.0001,0.0,0.0292902477477429,0.06257984832569688,0.06847528379583592,0.14413059033130401,0.016862318178270597
325,100,1.0,0.4,0.5,0.5,0.1,1000000,0.0,1.0508895454960498,0.12699646875882667,0.012507057355099998,0.08679251469591702,53.87,37.1558701535664,1.0508895454960503,0.12635989097193584,576,44.31111111111111,19.429441831317316,0.41405032291,0.049157338103458875,0.42139939000000015,0.1546,0.1456,0.0002,0.0,0.09304013918453032,0.1591138960809587,0.22529368210843312,0.27578306664745766,0.055479488958285555
326,100,1.0,0.4,0.75,0.75,0.1,1000000,0.0,1.0672175777265178,0.18100041544522646,0.015746242333800002,0.10125856065261436,10075.25,99992.40757312627,1.067217577726518,0.18009313947907932,576,75.27083333333333,27.5686564049143,0.32320943950000003,0.05489253310767083,0.33465251,0.34009999999999996,0.0816,0.0006,0.0,0.089445844197567,0.16697707530797065,0.23998263601651373,0.3004536157464745,0.059096703824346015
327,100,1.0,0.4,1.0,1.0,0.1,1000000,0.0,1.0542651323193064,0.11731184898419975,0.012822482589780002,0.08623283651733082,96.56,35.06712754622817,1.0538061346101641,0.11642712241701628,576,98.5,20.138065117251625,0.278667482506,0.04918725015204865,0.28778327249999996,0.43739999999999996,0.0904,0.0006,0.0,0.1005482618841169,0.17793432947411134,0.2626371423005039,0.3144577855789835,0.06467546848155074
328,100,1.0,0.4,1.25,1.25,0.1,1000000,0.0,1.2008458704594789,0.4289327081183064,0.03244200927285,0.14321102827777665,111.74,26.497806274741635,1.2003027197890248,0.42668239064699287,576,115.39583333333333,12.456155746145045,0.243900354187,0.10226586341683651,0.254679684,0.5451999999999999,0.0209,0.0005,0.0,0.19056348565355713,0.25253089890541863,0.39224308813290276,0.4379653504619374,0.09659146174618201
329,100,1.0,0.4,1.5,1.5,0.1,1000000,0.0,1.2124100971665086,0.3157668391928664,0.03191310809301,0.13865747764319425,10126.47,99987.2276772131,1.2091965390135266,0.31075536160422673,576,132.2,7.874007874011811,0.22802712650900003,0.10285811434138127,0.24851178999999995,0.5807000000000001,0.065,0.0015,0.0,0.20449017994010987,0.24634272251399805,0.37970892722018823,0.393524808244644,0.09350487345195886
330,100,1.0,0.5,0.0,0.0,0.1,1000000,0.0,1.00080799836768,0.0039783089514642605,0.0005138332314999999,0.01924378072787374,117.51,4.375078642871822,1.00080799836768,0.003958367427635751,576,117.16666666666667,1.0671873729054748,0.0018659859100000004,0.004096938504140911,0.0015572774999999999,0.9996,0.0,0.0002,0.0,0.002240061374193894,0.010974014718585468,0.002240061374193894,0.010974014718585468,0.0005516242582233521
331,100,1.0,0.5,0.5,0.5,0.1,1000000,0.0,1.001235888265296,0.008752332538013666,0.0005972854544,0.018217742210198017,118.35,6.661171978054021,1.0012358882652959,0.0087084609207031,576,118.35555555555555,1.4008815566643988,0.007389096119999998,0.00343732226139811,0.007513887499999998,0.9902,0.0,0.0,0.0,0.0027994721644386765,0.018355891702231553,0.0027994721644386765,0.018355891702231553,0.0006893814490601274
332,100,1.0,0.5,0.75,0.75,0.1,1000000,0.0,1.0025370623762817,0.015549508482760538,0.0012645440659,0.0321570472983945,120.5,5.180577558379358,1.0025370623762817,0.015471565593529557,576,120.20833333333333,1.7906974122453583,0.00246085079,0.006355235855316257,0.0014035825000000002,0.9987999999999999,0.0,0.0004,0.0,0.005451055890421609,0.03190848507611687,0.005728314762645586,0.03340459696465157,0.0014106208955776307
333,100,1.0,0.5,1.0,1.0,0.1,1000000,0.0,1.00331033957589,0.0141643228205977,0.0016173631862999999,0.036328313145467216,122.21,5.379149795762573,1.00331033957589,0.014093323261617302,576,122.04255319148936,1.662572306007345,0.0027560936499999994,0.009620679160751317,0.001346995,0.9984000000000001,0.0,0.0002,0.0,0.0073937782007453,0.029530375042741433,0.007730284034249928,0.031810067705772355,0.0019036140015509409
334,100,1.0,0.5,1.25,1.25,0.1,1000000,0.0,1.003903215084032,0.013674385116556543,0.0019341978189,0.04043405619195743,123.6,5.532274451440437,1.003903215084032,0.013605841401131486,576,123.36363636363636,1.679974419325121,0.0029920408500000006,0.01220813400324704,0.0012674284999999999,0.9981,0.0,0.0007000000000000001,0.0,0.009048849510222943,0.03041433925990354,0.009326108382446923,0.03194922018972457,0.0022965922620888754
335,100,1.0,0.5,1.5,1.5,0.1,1000000,0.0,1.008031760212876,0.027393374837247454,0.00299951017837,0.04996071240947479,125.75,6.799249810074488,1.0080317602128759,0.027256063823013824,576,125.09756097560975,1.8845310997153033,0.014929206007,0.017807173747582693,0.012479132499999998,0.9774,0.0,0.0007000000000000001,0.0,0.015008637183598185,0.04311069494994725,0.026464762147310018,0.0972089474918694,0.006517055718538414
336,100,1.0,0.2,0.0,0.0,0.2,1000000,0.0,2.3460002964976643,0.4606738250853039,0.15715547641363,0.27106366370876633,60.97,29.592332818082486,2.346000296497665,0.4583646685637299,576,54.361702127659576,3.1651394504917634,0.4552999169650001,0.31034414599097904,0.5342742349999999,0.2832,0.021799999999999996,0.0002,0.0,0.8968425511978727,0.18452364136386193,0.9019846606112141,0.19010959733328595,0.22211740493831475
337,100,1.0,0.2,0.5,0.5,0.2,1000000,0.0,3.6779911015545856,1.7268255660398246,0.16054107542917997,0.2614364202210173,54.85,19.278068870971996,3.677640205433808,1.7181381832682932,576,52.68181818181818,3.4691676187440335,0.45894186646400004,0.30497755629452883,0.5141444199999999,0.2498,0.0052,0.0054,0.0,1.273783597453685,0.2782155642646694,1.752229837737408,0.5164829921438966,0.43149375084714003
338,100,1.0,0.2,0.75,0.75,0.2,1000000,0.0,4.0044762194253325,1.8939100382984464,0.16154383470306002,0.2604051230315225,50.18,9.09476483889207,4.004378796393239,1.8842203432153999,576,49.34,2.9299146745255227,0.4659673295399999,0.30413433725527306,0.521870705,0.2383,0.029600000000000005,0.0079,0.0,1.354882450560043,0.26844132002529253,1.8787197617838962,0.46876771916469,0.46264241102614134
339,100,1.0,0.2,1.0,1.0,0.2,1000000,0.0,4.0941861183164905,2.1113095747332187,0.15852989371697,0.2564465562151986,52.43,9.324947531468824,4.090194584270895,2.094579202462106,576,51.02040816326531,3.067205042408847,0.47164428795499996,0.2997836413886683,0.528987,0.22579999999999997,0.0084,0.007100000000000002,0.0,1.3528906160199723,0.3053420225072327,1.899630085755624,0.5095376677798121,0.4677916636685004
340,100,1.0,0.2,1.25,1.25,0.2,1000000,0.0,4.233440312586027,2.285836952550235,0.15989197132591002,0.2554073475456249,52.16,9.24276402753456,4.233684598664921,2.2744089849024673,576,50.75,2.090291410741139,0.4743867454150001,0.29970076902709963,0.520268155,0.21330000000000005,0.0276,0.0052,0.0,1.4001446387420564,0.2503143368020372,1.9582417320094985,0.4557825491601871,0.4822250208347422
341,100,1.0,0.2,1.5,1.5,0.2,1000000,0.0,4.12489179686032,2.2974410916970447,0.15616599770387,0.25388140558238365,60.7,17.93112524425761,4.125294151935962,2.2865536636667247,576,55.82,4.994757251358668,0.47829969029899994,0.29599665509205847,0.5250358100000001,0.2094,0.0101,0.0068000000000000005,0.0,1.3556912182532617,0.32514113737990047,1.9447105413263088,0.4748557478687372,0.47889290988926453
342,100,1.0,0.3,0.0,0.0,0.2,1000000,0.0,1.7844616978090493,0.23143003457781064,0.14421149050870002,0.27834373116449457,54.75,9.266399603738316,1.784461697809048,0.2302699769740722,576,54.666666666666664,1.130388330520878,0.3960008106799999,0.3062680674898174,0.5165500025,0.3857999999999999,0.016800000000000002,0.0001,0.0,0.6170763819554543,0.11625399101196207,0.6184530565008646,0.11435670763930861,0.15229658993652415
343,100,1.0,0.3,0.5,0.5,0.2,1000000,0.0,1.9758567747068885,1.0079545166117445,0.13235777937051,0.26097175158610625,54.24,7.098328157127043,1.9752654410285977,0.9997891339655015,576,52.976190476190474,1.6688760865595293,0.4146829131810001,0.2858533594782537,0.5362029639999999,0.33039999999999997,0.018500000000000003,0.001,0.0,0.6856454487695725,0.220909492543093,0.8543017542585347,0.44703448312144584,0.21037529458823753
344,100,1.0,0.3,0.75,0.75,0.2,1000000,0.0,2.1280635435473685,1.0278015717608175,0.14149264945691,0.2712225742368538,55.74,8.713880718240132,2.1279798654603157,1.0225591383658996,576,54.734693877551024,2.0679824556560655,0.42137900267100004,0.30156035790657254,0.5648156475,0.34759999999999996,0.001,0.0004,0.0,0.7405390505781291,0.2777757753594577,1.0210585207074754,0.5203254294239376,0.251439829094228
345,100,1.0,0.3,1.0,1.0,0.2,1000000,0.0,1.9326627339242952,0.611546718786957,0.13768302384949,0.2635518792063597,56.54,8.287047213281188,1.9326627339242959,0.608481302396797,576,55.48837209302326,1.9692058725596788,0.43170288064099993,0.293315998159253,0.584799665,0.3131,0.0074,0.0013,0.0,0.7393767383286307,0.24421604984861353,0.9718645683101466,0.39889299070598216,0.23932561748696046
