,n,p,eps,gam,gam_media,p_media,max_it,media_op,avg_ncluster,std_ncluster,avg_pwdist,std_pwdist,avg_niter,std_niter,avg_ncluster_0.00001,std_ncluster_0.00001,nruns,avg_opinion,std_opinions,median_opinion,avg_00_perc,avg_05_perc,avg_095_perc,avg_005_perc,10B_avg_entr,10B_std_entr,100B_avg_entr,100B_std_entr,100B_norm_entr,avg_ncluster_0.01,std_ncluster_0.01,avg_ncluster_0.001,std_ncluster_0.001
288,100,1.0,0.3,1.5,1.5,0.2,1000000,0.05;0.95,2.157783494600912,0.580781580426674,0.2004446151099999,0.3585066790635589,66.04,8.38579848086133,8.227607509530435,3.704920676636232,97.0,0.517146619,0.4094464081038822,0.5458341,0.4424,0.0557,0.4826,0.4424,0.8347717709826609,0.2432319895965259,0.889438800021469,0.3321769014125333,0.22264191831683364,2.157783494600912,0.5778703762274687,2.7554960883329134,0.8183393812355846
289,100,1.0,0.4,1.0,1.0,0.5,1000000,0.05;0.5;0.95,1.196619150844236,0.1388584818096686,0.0350141787,0.1205430047926776,40.4,13.25979721648194,3.2727864123756136,0.7449846159054283,1.0,0.4849270499999999,0.1196919815506279,0.5002549999999999,0.061,0.912,0.027,0.061,0.2814995579310042,0.1311946168278323,0.2814995579310042,0.1311946168278323,0.0704642090963275,1.1966191508442356,0.13173272248548365,1.4940065263462956,0.3906144041276188
290,100,1.0,0.3,0.0,0.0,0.1,1000000,0.05;0.5;0.95,1.361205463392954,0.8681427141017853,0.0417862297599999,0.1534552584165808,239184.98,330441.7921992894,2.5255193650686407,2.333422790004197,97.0,0.501733246,0.1171623864559848,0.5070826,0.0656,0.8393,0.0730999999999999,0.0656,0.2625965914560201,0.2461849968033225,0.2988015131349038,0.3820153753287039,0.07479518779563221,1.3612054633929542,0.8637910941469206,1.6214839308684057,1.6712587462139534
291,100,1.0,0.3,0.0,0.0,0.0,1000000,0.5,1.3805545728432949,0.4247937449636914,0.0484284356,0.1417674577528585,33.02,27.389439828908777,3.033447593517242,1.72947107863859,97.0,0.501526508,0.112072766815124,0.477267,0.0014,0.5619999999999999,0.006,0.0029,0.3146190803368227,0.2970875009750745,0.3530737787759816,0.3176744386693951,0.08838047475797148,1.3805545728432949,0.4226644396003466,1.710675951221626,0.5683138899924719
292,100,1.0,0.4,0.5,0.5,0.0,1000000,0.05;0.95,1.02239172881564,0.0459686182046141,0.00561360748,0.0482008579114645,27.03,13.38584734303021,9.52204133649483,1.9822732874865263,97.0,0.4995378759999999,0.0293226450350444,0.4992159999999999,0.0039,0.9746,0.0046,0.005,0.0828390407997823,0.1632304117798613,0.3012719937996538,0.2887550117644605,0.07541359184361315,1.0223917288156406,0.04573819761474177,3.471663372881872,0.8058009466698651
293,100,1.0,0.2,1.5,1.5,0.5,1000000,0.05;0.5;0.95,2.947635650236131,0.1844165736600887,0.1734148580999999,0.2721440620887715,22.2,1.5491933384829668,7.397469132219686,2.4010680279742984,1.0,0.49674011,0.3223879431931387,0.49991,0.259,0.4509999999999999,0.25,0.259,1.3484358453834315,0.1634660678999982,1.3654382778572178,0.1720045818652786,0.3417928220784013,2.9476356502361307,0.1749529233150285,3.3982839702843095,0.6381102039588529
294,100,1.0,0.3,0.75,0.75,0.2,1000000,0.5,1.3171452188329411,0.2201195763492594,0.042274182418,0.123814689332295,39.98,7.378620494648062,4.743469497659415,1.6507263077427423,97.0,0.4978355404,0.1251891250314054,0.500094,0.0229,0.8763000000000001,0.0483,0.0506,0.4549417058531199,0.2184484147343776,0.5629978281961164,0.3004273894396753,0.14092809586760652,1.317145218832942,0.21901621312874459,2.074836068884095,0.6101484291671764
295,100,1.0,0.5,0.75,0.75,0.4,1000000,0.5,1.0,0.0,0.0002285954,0.0003784830331048,15.37,2.1017308884043,3.599828919989323,0.8991389581166603,97.0,0.5001411400000001,0.0004307940354246,0.5001539999999999,0.0,1.0,0.0,0.0,0.1744622821793668,0.251725620209194,0.1744622821793668,0.251725620209194,0.04367092730540807,1.0,0.0,1.4658722755314395,0.32585377054717524
296,100,1.0,0.5,0.5,0.5,0.1,1000000,0.5,1.0,0.0,0.0002475596,0.0004264118505329,49.45,16.625631301145116,3.597239467627764,1.451880406062966,97.0,0.5001072599999999,0.0004690915828184,0.5001805000000001,0.0,1.0,0.0,0.0,0.0630501603443811,0.1814363975670335,0.0630501603443811,0.1814363975670335,0.015782545858037816,1.0,0.0,1.629098614037998,0.4383415742971783
297,100,1.0,0.4,1.0,1.0,0.3,1000000,0.0,1.6631549783665278,0.7401576688407634,0.1016845047984799,0.234728458355943,46.93,11.57867684909453,23.174859267199963,11.859123380712107,97.0,0.299913583888,0.2242186368422707,0.421483012,0.5243,0.1407999999999999,0.003,0.5243,0.5000585278442737,0.318166449617672,0.6663097956803596,0.4925617183056717,0.16678886855396002,1.6631549783665278,0.7364475819746816,3.784143114338174,1.8430029133848573
298,100,1.0,0.5,0.75,0.75,0.1,1000000,0.05;0.5;0.95,8.010768843528005,1.2486617195523066,0.02190699276,0.0372612048091455,1000000.0,0.0,60.59478116820481,4.795523307766442,97.0,0.308185116,0.0428588551204645,0.3084449999999999,0.0004,0.014,0.0008,0.0093999999999999,0.7147783723304044,0.1527604221506843,2.458042961701509,0.1453109029870023,0.615290675744307,8.026446240798933,1.2303679778941385,32.767384718537826,4.028866010813312
299,100,1.0,0.3,0.75,0.75,0.3,1000000,0.05;0.5;0.95,1.5502324487057255,0.159069656441889,0.0807618501,0.177834593731055,46.4,6.569288816573341,4.745531008461948,1.868958565340136,1.0,0.47155711,0.1941633014560597,0.5003,0.143,0.778,0.079,0.143,0.5797223516134669,0.1021637367677754,0.5797223516134669,0.1021637367677754,0.14511453340157043,1.550232448705725,0.15090672629305346,2.059147862263454,0.39137382646081786
300,100,1.0,0.2,0.75,0.75,0.2,1000000,0.5,3.6717256597359897,0.900142867267423,0.13615380012,0.2145532688027394,41.26,10.147020262225764,12.287284600028675,4.136384349521625,97.0,0.5005587504000001,0.2526676340220717,0.4999655,0.032,0.4321000000000001,0.0992999999999999,0.0842,1.428991660891099,0.1877618630350578,1.9293055075690493,0.2959897751484477,0.48293854418543164,3.6707427071166006,0.8953316278287641,5.465004105659899,1.6889267617066461
301,100,1.0,0.2,1.5,1.5,0.0,1000000,0.05;0.95,3.953582008662609,1.519650240123303,0.1345549057439999,0.2170191603033119,51.43,23.9461749122755,28.54741242942259,6.676470155497992,97.0,0.4936301932,0.2540229225585265,0.5073465,0.036,0.1435,0.0611,0.0718,1.3748628561474003,0.2534892302461648,2.170972503362269,0.3920746066040041,0.5434319739031029,3.9528674037953606,1.5116072436041188,12.500757345439462,3.5672101796125006
302,100,1.0,0.5,0.5,0.5,0.1,1000000,0.05;0.95,1.0010259589366757,0.0073705263934257,0.00062028904,0.019821455354972,158.41,18.959869901100763,10.856319985165465,8.42708189893517,97.0,0.4728423600000001,0.0031463243722366,0.4728656,0.5301,0.0,0.4698999999999999,0.5301,0.0023278128145949,0.0165000752630045,0.0023278128145949,0.0165000752630045,0.000582691817032725,1.0010259589366757,0.007333581166321414,1.515891592040785,0.32405535221327575
303,100,1.0,0.3,1.25,1.25,0.1,1000000,0.05;0.5;0.95,1.4951963011307852,0.3394582751609516,0.07312441372,0.1781561986963513,110.93,24.28752641571264,3.77271190990292,1.537041485713467,97.0,0.488272932,0.182007951451443,0.5093033,0.1221999999999999,0.7821999999999999,0.0956,0.1221999999999999,0.5285296645244979,0.2192147591503453,0.5285296645244979,0.2192147591503453,0.13230011822538706,1.4951963011307852,0.33775671920702904,1.957550625774398,0.5977867472550012
304,100,1.0,0.2,0.75,0.75,0.4,1000000,0.5,3.726321943222889,0.6243011576857204,0.141812179688,0.2200483631558121,23.6,9.941241513426924,11.16174145735746,4.265806775430719,97.0,0.5025941883999998,0.2612132058825779,0.499982,0.0398,0.4234,0.1143,0.109,1.5057665075172857,0.1590721333791718,1.970966528866077,0.2681239754045673,0.4933670185227158,3.7253014937793085,0.6195937821987356,5.0807627195169935,1.50925002013767
305,100,1.0,0.5,1.5,1.5,0.4,1000000,0.05;0.95,1.9365219343110045,0.0859246403009062,0.21698568237,0.3846002278974477,32.81,2.929111976298786,7.294632071136384,2.771915466323,97.0,0.5107699010000001,0.4414274166829049,0.5896400499999999,0.4878999999999999,0.0,0.5121000000000001,0.4878999999999999,0.6753141845274263,0.0259879166219908,0.6753141845274263,0.0259879166219908,0.16904282285203343,1.936521934311004,0.08549393763730685,2.2447320004485123,0.3485364599274566
306,100,1.0,0.5,1.0,1.0,0.0,1000000,0.5,1.0022894019594992,0.0139906361443327,0.0014017178399999,0.0118462581326956,10049.1,99995.0422949341,11.744964085082442,2.5765356652014675,97.0,0.499050142,0.0039664785261571,0.4989735,0.0002,0.9995,0.0003,0.0002,0.0774682470591967,0.196539217744541,0.3757851178625334,0.2927679278441424,0.09406551582167583,1.0018498753511442,0.010156475865089132,4.50330115711903,0.9414947082416886
307,100,1.0,0.2,0.75,0.75,0.1,1000000,0.05;0.5;0.95,2.588144712481572,0.3820609040035304,0.16910553681,0.2792755204512478,128.01,16.559958400377162,6.790074092072572,2.7701104711296467,97.0,0.499120317,0.3222549853932942,0.4888716,0.2777,0.4347,0.2747,0.2777,1.050393862650489,0.1699094047856277,1.050393862650489,0.1699094047856277,0.2629317549033038,2.5881447124815713,0.38014579969311113,3.1235914922213066,0.7093568372863283
308,100,1.0,0.2,0.75,0.75,0.4,1000000,0.05;0.95,3.6342325985420656,1.2856629431638484,0.18197128985,0.2847939916128625,29.43,5.170340824590217,14.2126967999712,5.77796035953704,97.0,0.4971954210000001,0.3367079895172125,0.4990229000000001,0.2831999999999999,0.3178,0.2742,0.2831999999999999,1.2799845021940726,0.2371428444509036,1.5311353127787248,0.4703681540256081,0.38326965636249727,3.6328331772805007,1.2763691696178445,4.965674309368853,1.4182938038992672
